station,address,lon,lat
РПНС Зеленый Луг,"улица Карбышева, 9/2",27.633184,53.952804
РПНС Филимонова,"улица Филимонова, 53а",27.631486,53.923578
РПНС Кульман,"улица Кульман, 65а",27.576267,53.92388
РПНС Некрасова,"улица Беды, 19а",27.588942,53.9325
РПНС Цнянская,"улица Цнянская, 14",27.585834,53.924903
РПНС Аэродромная,"улица Жуковского, 10 к.3",27.547404,53.880592
РПНС Курасовщина-1,"улица Корженевского, 4б",27.49797,53.84544
РПНС Курасовщина-3,"улица Кижеватова, 60а",27.530642,53.850082
РПНС Дружба,"улица Н.Орды, 20",27.561831,53.902257
РПНС Запад,"улица Одинцова, 12а",27.45574,53.89979
РПНС Каменная горка,"улица Неманская, 22",27.430776,53.910437
РПНС Красный бор,"улица Одинцова, 105в",27.428341,53.899244
РПНС Кунцевщина,"улица Лещинского, 21а",27.44646,53.911169
РПНС Веснянка,"проспект Победителей, 87",27.504788,53.932426
РПНС Танковая,"улица М.Танка, 22",27.533893,53.90945
РПНС Ангарская-2,"улица Байкальская, 41",27.686993,53.87024
РПНС Ангарская-3,"улица Герасименко, 49а",27.680292,53.884493
РПНС Шабаны,"улица Бачило, 22",27.701097,53.843501
РПНС Лошица,"улица Сырокомли, 11",27.55804,53.844361
РПНС Серебрянка,"проспект Рокоссовского, 12/2",27.594431,53.871727
