address,lat,lon,start
"1-й Загородный переулок, 16",53.9059041,27.519566,2016-05-31
"1-й Загородный переулок, 20",53.9054885,27.5206895,2016-05-31
"1-й Загородный переулок, 22",53.9049048,27.5206778,2016-05-31
"1-й Загородный переулок, 22А",53.9051149,27.5202751,2016-05-31
"1-й Загородный переулок, 3",53.9049495,27.5223972,2016-05-31
"1-й Загородный переулок, 9",53.9035204,27.5216919,2016-05-31
"1-й переулок Окрестина, 36",53.882152,27.493559,2016-05-12
"1-й переулок Окрестина, 36А",53.882163,27.494547,2016-05-12
"1-й переулок Окрестина, 38",53.882221,27.492571,2016-05-12
"1-й переулок Фомина, 8",53.853094,27.520751,2016-05-19
"2-й Долгиновский переулок, 62,",53.938262,27.547449,2016-05-30
"2-й Прилукский переулок, 11",53.882709,27.488299,2016-05-12
"2-й Прилукский переулок, 3",53.8834895,27.4931705,2016-05-12
"2-й Прилукский переулок, 38",53.884604,27.492122,2016-05-12
"2-й Прилукский переулок, 5",53.883787,27.4910025,2016-05-12
"2-й Прилукский переулок, 6",53.8850565,27.4925708,2016-05-12
"2-й Прилукский переулок, 7",53.8830315,27.492191,2016-05-12
"2-й Прилукский переулок, 9",53.883394,27.4907215,2016-05-12
"2-й Холмогорский переулок, 32",53.888616,27.650953,2016-05-11
"2-й переулок Багратиона, 22",53.908172,27.623905,2016-05-11
"2-й переулок Багратиона, 22А",53.907986,27.624354,2016-05-11
"2-й переулок Багратиона, 24",53.908591,27.623896,2016-05-11
"2-й переулок Багратиона, 28",53.909424,27.623923,2016-05-11
"2-й переулок Багратиона, 30",53.909673,27.624075,2016-05-11
"2-й переулок Багратиона, 32",53.909827,27.624489,2016-05-11
"2-й переулок Розы Люксембург, 1",53.894055,27.527578,2016-05-12
"2-й переулок Розы Люксембург, 3",53.894517,27.528189,2016-05-12
"2-й переулок Розы Люксембург, 4",53.894782,27.528872,2016-05-12
"2-й переулок Розы Люксембург, 5",53.894925,27.527605,2016-05-12
"2-й переулок Розы Люксембург, 6",53.895456,27.528171,2016-05-12
"2-й переулок Розы Люксембург, 7",53.895498,27.527129,2016-05-12
"2-й переулок Розы Люксембург, 8",53.895774,27.528647,2016-05-12
"2-й переулок Тимошенко, 2",53.895212,27.462181,2016-05-24
"2-й переулок Тимошенко, 3",53.894299,27.459791,2016-05-24
"2-я улица Пржевальского, 1",53.8742474,27.6649539,2016-05-11
"2-я улица Пржевальского, 11",53.8760772,27.6634337,2016-05-11
